order_no,customer_id,product_name,quantity,
76153,19,Product84,3,
25123,8,Product92,9,
7461,26,Product58,24,
2142,27,Product864,44,
89911,9,Product77,33,
32822,7,Product498unknown,49,
45354,17,Product44,56,
62802,25,Product267,34,
58565,11,Product66,57,
55429,9,Product35,40,
82291,9,Product552,40,
91474,29,Product67,16,
47266,28,Product92,58,
36278,2,Product69,27,
6439,13,Product47unknown,29,
9221,15,Product66,29,
56222,3,Product637,54,
89349,8,Product90,13,
88062,17,Product72,57,
93468,28,Product67,53,
4102,23,Product69,46,
45982,7,Product37,38,
93872,25,Product66,36,
62273,17,Product37,52,
92176,12,Product74unknown,2,
63754,16,Product58,55,
88024,13,Product410,17,
84831,10,Product551,38,
92985,29,Product28,44,
44245,5,Product812,40,
78883,4,Product37,6,
43389,3,Product69,48,
10570,16,Product984unknown,43,
9694,26,Product159,8,
44570,5,Product44,58,
5756,19,Product58,14,
18394,23,Product29,4,
88492,5,Product77,32,
39376,3,Product871,21,
88449,3,Product812,28,
85891,8,Product37,1,
66442,3,Product43,19,
21973,21,Product410unknown,33,
50881,1,Product58,43,
88024,8,Product44,28,
11577,6,Product676,59,
40402,19,Product24,43,
10100,16,Product59,28,
89124,12,Product98,51,
89681,25,Product84,59,
1634,23,Product573,1,
60034,5,Product17,7,
60617,4,Product27unknown,1,
29335,24,Product1,8,
56607,6,Product18,46,
11074,15,Product39,42,
80600,11,Product895,44,
95333,2,Product39,22,
21958,24,Product83,56,
96543,23,Product30,13,
69022,13,Product267,29,
33177,16,Product79,18,
48937,12,Product539unknown,19,
72087,7,Product89,40,
24546,5,Product895,3,
7017,10,Product291,12,
36707,8,Product493,30,
68905,21,Product67,47,
19211,29,Product90,0,
69433,28,Product92,48,
23061,13,Product86,4,
11746,6,Product801,54,
53806,22,Product369unknown,27,
80150,15,Product984,34,
84098,4,Product96,49,
7417,29,Product27,26,
76220,20,Product58,18,
98866,1,Product552,1,
41688,4,Product89,31,
63132,14,Product56,8,
71805,13,Product68,57,
